219	264	13
180	316	12
327	280	12
202	319	17
319	283	14
331	291	13
212	293	15
326	323	15
186	306	15
230	278	16
314	294	17
210	263	18
332	300	18
163	258	19
228	285	18
187	253	19
152	311	19
313	332	21
371	258	23
302	260	22
304	295	22
364	284	22
302	245	24
128	249	25
142	246	23
306	245	24
325	253	26
380	285	24
387	311	24
147	235	26
147	333	25
351	233	27
360	217	30
381	344	28
173	337	26
211	216	28
181	245	30
191	219	31
366	227	29
156	215	28
181	364	26
415	292	31
206	319	28
404	286	30
187	188	32
295	203	32
326	283	29
415	296	30
388	228	32
331	372	31
174	330	29
109	224	34
304	212	35
96	298	34
135	260	33
186	321	31
194	361	30
119	228	34
165	329	31
377	246	35
144	267	34
217	184	36
323	199	35
320	369	33
372	371	33
172	275	36
350	365	35
362	214	37
334	324	34
141	363	33
172	358	33
223	192	38
339	185	39
399	287	37
151	217	38
167	342	36
207	301	37
291	181	40
342	360	37
301	202	38
366	202	39
118	253	39
122	190	41
145	319	36
196	340	36
386	263	40
136	196	41
368	281	41
405	333	40
377	224	42
175	321	39
386	358	41
394	224	42
404	230	43
377	345	41
367	348	41
182	183	44
311	187	43
205	195	46
190	346	38
392	204	44
184	297	42
172	352	40
106	209	45
198	225	45
370	199	45
162	304	44
408	297	47
115	191	46
351	345	44
221	316	46
209	338	46
360	331	46
320	384	49
322	177	49
130	311	45
181	178	50
160	279	46
99	314	47
184	232	47
349	232	50
122	217	51
95	253	51
198	155	51
403	352	50
392	266	52
424	277	52
396	364	48
102	208	51
219	329	48
84	304	49
99	212	52
192	156	54
135	173	54
157	320	48
364	181	53
386	372	51
306	363	51
198	291	52
330	170	51
382	191	51
365	387	52
150	357	47
414	331	54
89	266	55
130	177	57
168	276	53
143	161	58
163	368	49
178	149	58
165	160	59
379	325	55
166	377	50
170	161	56
185	162	59
378	367	56
374	358	55
427	266	59
97	336	51
169	337	52
428	276	59
407	326	57
389	364	58
115	278	55
100	235	57
84	285	57
105	198	62
171	338	50
111	191	63
174	359	53
190	351	56
114	306	53
180	158	62
217	328	58
392	184	63
177	375	54
101	360	55
387	304	59
404	203	63
118	365	54
112	369	54
114	366	55
154	254	61
417	303	62
385	344	60
222	294	62
404	337	60
397	293	61
142	372	55
148	176	64
428	240	64
180	327	62
379	301	66
109	231	63
140	180	67
135	224	61
145	280	58
203	168	68
214	302	63
131	222	67
119	229	62
126	226	63
155	250	62
423	243	67
96	351	58
100	291	59
117	347	58
237	311	65
350	299	68
430	305	66
399	308	65
392	331	65
424	292	63
99	246	62
178	378	60
157	385	60
119	326	60
217	338	64
237	309	68
319	379	67
84	286	61
159	238	64
136	211	66
108	184	70
172	369	65
223	335	67
248	307	68
327	385	69
421	303	69
394	377	68
97	212	69
404	363	69
386	294	69
150	399	65
307	356	70
400	220	71
408	271	71
93	330	64
222	329	68
254	304	71
426	270	70
325	385	72
330	322	72
84	320	66
380	367	73
391	368	73
406	364	73
431	309	72
167	397	65
101	347	66
102	202	70
101	307	64
81	266	66
207	366	68
227	152	71
188	345	68
319	373	74
382	388	74
311	312	76
382	264	75
434	300	74
392	319	73
83	265	67
140	342	68
363	373	74
399	334	75
82	260	68
322	327	76
334	352	75
406	323	76
128	354	70
375	382	77
303	350	78
429	275	78
89	351	70
141	402	70
392	356	78
138	383	71
190	382	73
180	361	72
325	348	79
399	370	79
410	368	79
335	353	79
314	370	80
439	247	80
167	181	67
179	387	74
433	301	81
332	376	82
203	161	75
207	357	77
173	388	74
434	337	82
360	371	82
141	394	76
110	377	76
304	354	87
315	367	86
136	397	77
